Bairro,Município,Populção Total(Senso 2010),Pop. De Homens (Senso 2010),Pop. De Mulheres (Senso 2010),procurar,raw,LATITUDE,LONGITUDE,POINT
Santo Antônio,Penedo,4005,1934,2071,"Penedo, Santo Antônio","Santo António, Louro, Vila Nova de Famalicão, Braga, 4760-552, Portugal",41.43563725,-8.539111475268442,"41 26m 8.2941s N, 8 32m 20.8013s W"
Centro Penedo,Penedo,4542,2142,2400,"Penedo, Centro Penedo","Parque Urbano do Penedo, Quinta da Caramuja, São Domingos de Rana, Cascais, Lisboa, 2785-386, Portugal",38.7076574,-9.3593052,"38 42m 27.5666s N, 9 21m 33.4987s W"
Centro Histórico,Penedo,1743,781,962,"Penedo, Centro Histórico","Parque Urbano do Penedo, Alto do Espargal, Caparide, São Domingos de Rana, Cascais, Lisboa, Portugal",38.7077518,-9.35933722693663,"38 42m 27.9065s N, 9 21m 33.614s W"
Dom Constantino,Penedo,14265,6837,7428,"Penedo, Dom Constantino","Rua Dom Constantino Luers, Feliz Deserto, Região Geográfica Imediata de Penedo, Região Geográfica Intermediária de Maceió, Alagoas, Região Nordeste, Brasil",-10.2905057,-36.301856,"10 17m 25.8205s S, 36 18m 6.6816s W"
Paraíso,Palmeira dos Índios,1915,864,1051,"Palmeira dos Índios, Paraíso","Escola Estadual Estado de Nova Jersey Palmeira dos Indios, Avenida Conselheiro Sebastião Lima, São Luiz, Palmeira dos Índios, Região Geográfica Imediata de Palmeira dos Índios, Região Geográfica Intermediária de Arapiraca, Alagoas, Região Nordeste, 57602-080, Brasil",-9.408550349999999,-36.62459885,"9 24m 30.7813s S, 36 37m 28.5559s W"
São Cristóvão,Palmeira dos Índios,5200,2313,2887,"Palmeira dos Índios, São Cristóvão","São Cristovão, Palmeira dos Índios, Região Geográfica Imediata de Palmeira dos Índios, Região Geográfica Intermediária de Arapiraca, Alagoas, Região Nordeste, Brasil",-9.4118265,-36.6367032,"9 24m 42.5754s S, 36 38m 12.1315s W"
São Francisco,Palmeira dos Índios,2779,1294,1485,"Palmeira dos Índios, São Francisco","Travessa Francisco Ferreira Barbosa, São Cristovão, Palmeira dos Índios, Região Geográfica Imediata de Palmeira dos Índios, Região Geográfica Intermediária de Arapiraca, Alagoas, Região Nordeste, 57607-520, Brasil",-9.4187945,-36.634982,"9 25m 7.6602s S, 36 38m 5.9352s W"
Sonho Verde,Palmeira dos Índios,3373,1632,1741,"Palmeira dos Índios, Sonho Verde","Rua Sonho Verde, Vila João XXIII, Palmeira dos Índios, Região Geográfica Imediata de Palmeira dos Índios, Região Geográfica Intermediária de Arapiraca, Alagoas, Região Nordeste, 57607-520, Brasil",-9.4232428,-36.6415486,"9 25m 23.6741s S, 36 38m 29.575s W"
Vila Maria,Palmeira dos Índios,8450,4023,4427,"Palmeira dos Índios, Vila Maria","Vila Maria Gorete, Paulo Jacinto, Região Geográfica Imediata de Palmeira dos Índios, Região Geográfica Intermediária de Arapiraca, Alagoas, Região Nordeste, 57740-000, Brasil",-9.3696228,-36.3734875,"9 22m 10.6421s S, 36 22m 24.555s W"
Xucurus,Palmeira dos Índios,2866,1398,1468,"Palmeira dos Índios, Xucurus","Centro Social Xucurus, Rua Santa Ana, Palmeira dos Índios, Região Geográfica Imediata de Palmeira dos Índios, Região Geográfica Intermediária de Arapiraca, Alagoas, Região Nordeste, 57602-010, Brasil",-9.4141928,-36.6184234,"9 24m 51.0941s S, 36 37m 6.32424s W"
Centro Palmeira dos Índios,Palmeira dos Índios,3428,1525,1727,"Palmeira dos Índios, Centro Palmeira dos Índios","Palmeira dos Índios, Rua Luiz Pinto de Andrade, Centro, Palmeira dos Índios, Região Geográfica Imediata de Palmeira dos Índios, Região Geográfica Intermediária de Arapiraca, Alagoas, Região Nordeste, 57600-040, Brasil",-9.4073815,-36.6272741707995,"9 24m 26.5734s S, 36 37m 38.187s W"
Goiti,Palmeira dos Índios,513,233,280,"Palmeira dos Índios, Goiti","Cristo do Goití, Avenida Fernandes Calixto, Vila João XXIII, Palmeira dos Índios, Região Geográfica Imediata de Palmeira dos Índios, Região Geográfica Intermediária de Arapiraca, Alagoas, Região Nordeste, 57601-090, Brasil",-9.39920455,-36.64014136830111,"9 23m 57.1364s S, 36 38m 24.5089s W"
Jardim Brasil,Palmeira dos Índios,3103,1390,1713,"Palmeira dos Índios, Jardim Brasil","Jardim Brasil, Palmeira dos Índios, Região Geográfica Imediata de Palmeira dos Índios, Região Geográfica Intermediária de Arapiraca, Alagoas, Região Nordeste, Brasil",-9.4146949,-36.6417712,"9 24m 52.9016s S, 36 38m 30.3763s W"
José Maia Costa,Palmeira dos Índios,1472,698,774,"Palmeira dos Índios, José Maia Costa","Rua José Maia Costa, Palmeira dos Índios, Região Geográfica Imediata de Palmeira dos Índios, Região Geográfica Intermediária de Arapiraca, Alagoas, Região Nordeste, 57602-270, Brasil",-9.4178768,-36.6186842,"9 25m 4.35648s S, 36 37m 7.26312s W"
Juca Sampaio,Palmeira dos Índios,3471,1635,1836,"Palmeira dos Índios, Juca Sampaio","Juca Sampaio, Palmeira dos Índios, Região Geográfica Imediata de Palmeira dos Índios, Região Geográfica Intermediária de Arapiraca, Alagoas, Região Nordeste, 57603-145, Brasil",-9.4254352,-36.6277365,"9 25m 31.5667s S, 36 37m 39.8514s W"
Senador Teotônio Vilela,Arapiraca,2694,1268,1426,"Arapiraca, Senador Teotônio Vilela","Senador Teotônio Vilela, Arapiraca, Região Geográfica Imediata de Arapiraca, Região Geográfica Intermediária de Arapiraca, Alagoas, Região Nordeste, Brasil",-9.7439427,-36.6587055,"9 44m 38.1937s S, 36 39m 31.3398s W"
Nova Esperança,Arapiraca,3086,1487,1599,"Arapiraca, Nova Esperança","Rua Nova Esperanca, Lagoa do Rancho, Arapiraca, Região Geográfica Imediata de Arapiraca, Região Geográfica Intermediária de Arapiraca, Alagoas, Região Nordeste, Brasil",-9.6430853,-36.6822928,"9 38m 35.1071s S, 36 40m 56.2541s W"
Baixão,Arapiraca,4198,1892,2306,"Arapiraca, Baixão","Baixão, Arapiraca, Região Geográfica Imediata de Arapiraca, Região Geográfica Intermediária de Arapiraca, Alagoas, Região Nordeste, Brasil",-9.7493143,-36.6697455,"9 44m 57.5315s S, 36 40m 11.0838s W"
Novo Horizonte,Arapiraca,2389,1127,1262,"Arapiraca, Novo Horizonte","Novo Horizonte, Arapiraca, Região Geográfica Imediata de Arapiraca, Região Geográfica Intermediária de Arapiraca, Alagoas, Região Nordeste, 57312-540, Brasil",-9.7439639,-36.645273,"9 44m 38.27s S, 36 38m 42.9828s W"
Ouro Preto (Arapiraca),Arapiraca,3744,1708,2036,"Arapiraca, Ouro Preto (Arapiraca)","Arapiraca Calçados, 138, Rua Professor Domingos Correira, Centro, Arapiraca, Região Geográfica Imediata de Arapiraca, Região Geográfica Intermediária de Arapiraca, Alagoas, Região Nordeste, 57300-010, Brasil",-9.7523442,-36.6610749,"9 45m 8.43912s S, 36 39m 39.8696s W"
Padre Antonio Lima Neto,Arapiraca,1751,841,910,"Arapiraca, Padre Antonio Lima Neto","Padre Antônio Lima Neto, Arapiraca, Região Geográfica Imediata de Arapiraca, Região Geográfica Intermediária de Arapiraca, Alagoas, Região Nordeste, Brasil",-9.7626054,-36.6686136,"9 45m 45.3794s S, 36 40m 7.00896s W"
Primavera,Arapiraca,11939,5528,6411,"Arapiraca, Primavera","Primavera, Arapiraca, Região Geográfica Imediata de Arapiraca, Região Geográfica Intermediária de Arapiraca, Alagoas, Região Nordeste, Brasil",-9.7643923,-36.6597569,"9 45m 51.8123s S, 36 39m 35.1248s W"
Boa Vista,Arapiraca,6651,3202,3449,"Arapiraca, Boa Vista","Boa Vista, Arapiraca, Região Geográfica Imediata de Arapiraca, Região Geográfica Intermediária de Arapiraca, Alagoas, Região Nordeste, 57303-256, Brasil",-9.7787041,-36.6354595,"9 46m 43.3348s S, 36 38m 7.6542s W"
Planalto,Arapiraca,8798,4300,4498,"Arapiraca, Planalto","Planalto, Arapiraca, Região Geográfica Imediata de Arapiraca, Região Geográfica Intermediária de Arapiraca, Alagoas, Região Nordeste, 57308-532, Brasil",-9.723661,-36.6645742,"9 43m 25.1796s S, 36 39m 52.4671s W"
Zélia Barbosa Rocha,Arapiraca,5620,2791,2829,"Arapiraca, Zélia Barbosa Rocha","Zélia Barbosa Rocha, Arapiraca, Região Geográfica Imediata de Arapiraca, Região Geográfica Intermediária de Arapiraca, Alagoas, Região Nordeste, 57309-509, Brasil",-9.7486107,-36.6843569,"9 44m 54.9985s S, 36 41m 3.68484s W"
São Luiz I,Arapiraca,4110,1873,2237,"Arapiraca, São Luiz I","São Luiz, Arapiraca, Região Geográfica Imediata de Arapiraca, Região Geográfica Intermediária de Arapiraca, Alagoas, Região Nordeste, Brasil",-9.7649315,-36.6479016,"9 45m 53.7534s S, 36 38m 52.4458s W"
Bom Sucesso,Arapiraca,4958,2392,2566,"Arapiraca, Bom Sucesso","Bom Sucesso, Arapiraca, Região Geográfica Imediata de Arapiraca, Região Geográfica Intermediária de Arapiraca, Alagoas, Região Nordeste, 57309-005, Brasil",-9.7136457,-36.6912037,"9 42m 49.1245s S, 36 41m 28.3333s W"
Brasília,Arapiraca,14737,6811,7926,"Arapiraca, Brasília","Arapiraca, Região Geográfica Imediata de Arapiraca, Região Geográfica Intermediária de Arapiraca, Alagoas, Região Nordeste, Brasil",-9.754866,-36.661471,"9 45m 17.5176s S, 36 39m 41.2956s W"
Brasiliana,Arapiraca,2750,1274,1476,"Arapiraca, Brasiliana","Brasiliana, Arapiraca, Região Geográfica Imediata de Arapiraca, Região Geográfica Intermediária de Arapiraca, Alagoas, Região Nordeste, Brasil",-9.7333262,-36.6648209,"9 43m 59.9743s S, 36 39m 53.3552s W"
Cacimbas,Arapiraca,6568,3020,3548,"Arapiraca, Cacimbas","Cacimbas, Arapiraca, Região Geográfica Imediata de Arapiraca, Região Geográfica Intermediária de Arapiraca, Alagoas, Região Nordeste, 57304-466, Brasil",-9.7609136,-36.6643167,"9 45m 39.289s S, 36 39m 51.5401s W"
Caititus,Arapiraca,5369,2498,2871,"Arapiraca, Caititus","Caititus, Arapiraca, Região Geográfica Imediata de Arapiraca, Região Geográfica Intermediária de Arapiraca, Alagoas, Região Nordeste, 57310-255, Brasil",-9.7387931,-36.6566777,"9 44m 19.6552s S, 36 39m 24.0397s W"
Canafístula,Arapiraca,10674,5175,5499,"Arapiraca, Canafístula","Canafístula, Arapiraca, Região Geográfica Imediata de Arapiraca, Região Geográfica Intermediária de Arapiraca, Alagoas, Região Nordeste, 57303-256, Brasil",-9.770344,-36.6332357,"9 46m 13.2384s S, 36 37m 59.6485s W"
São Luiz II,Arapiraca,2217,1094,1123,"Arapiraca, São Luiz II","São Luiz II, Arapiraca, Região Geográfica Imediata de Arapiraca, Região Geográfica Intermediária de Arapiraca, Alagoas, Região Nordeste, 57301-706, Brasil",-9.7692455,-36.6549182,"9 46m 9.2838s S, 36 39m 17.7055s W"
Capiatã,Arapiraca,3044,1378,1666,"Arapiraca, Capiatã","Capiatá, Arapiraca, Região Geográfica Imediata de Arapiraca, Região Geográfica Intermediária de Arapiraca, Alagoas, Região Nordeste, Brasil",-9.7419336,-36.662482,"9 44m 30.961s S, 36 39m 44.9352s W"
Cavaco,Arapiraca,5244,2512,2732,"Arapiraca, Cavaco","Cavaco, Arapiraca, Região Geográfica Imediata de Arapiraca, Região Geográfica Intermediária de Arapiraca, Alagoas, Região Nordeste, 57306-415, Brasil",-9.7391949,-36.6752172,"9 44m 21.1016s S, 36 40m 30.7819s W"
Centro Arapiraca,Arapiraca,4459,1932,2527,"Arapiraca, Centro Arapiraca","Mercado Municipal de Arapiraca, Rua Teodorico Costa, Centro, Arapiraca, Região Geográfica Imediata de Arapiraca, Região Geográfica Intermediária de Arapiraca, Alagoas, Região Nordeste, 57300-010, Brasil",-9.7540561,-36.6648072,"9 45m 14.602s S, 36 39m 53.3059s W"
Eldorado,Arapiraca,3431,1584,1847,"Arapiraca, Eldorado","Eldorado, Arapiraca, Região Geográfica Imediata de Arapiraca, Região Geográfica Intermediária de Arapiraca, Alagoas, Região Nordeste, Brasil",-9.7424306,-36.6676962,"9 44m 32.7502s S, 36 40m 3.70632s W"
Guaribas,Arapiraca,1365,654,711,"Arapiraca, Guaribas","Guaribas, Junqueiro, Região Geográfica Imediata de Arapiraca, Região Geográfica Intermediária de Arapiraca, Alagoas, Região Nordeste, Brasil",-9.8045164,-36.400991,"9 48m 16.259s S, 36 24m 3.5676s W"
Santa Edwiges,Arapiraca,1574,740,834,"Arapiraca, Santa Edwiges","Santa Edwiges, Arapiraca, Região Geográfica Imediata de Arapiraca, Região Geográfica Intermediária de Arapiraca, Alagoas, Região Nordeste, Brasil",-9.7358746,-36.6597784,"9 44m 9.14856s S, 36 39m 35.2022s W"
Senador Arnon de Melo,Arapiraca,3841,1882,1959,"Arapiraca, Senador Arnon de Melo","Senador Arnon de Melo, Arapiraca, Região Geográfica Imediata de Arapiraca, Região Geográfica Intermediária de Arapiraca, Alagoas, Região Nordeste, Brasil",-9.7297243,-36.6451473123581,"9 43m 47.0075s S, 36 38m 42.5303s W"
Itapoã,Arapiraca,2246,1090,1156,"Arapiraca, Itapoã","Itapoã, Arapiraca, Região Geográfica Imediata de Arapiraca, Região Geográfica Intermediária de Arapiraca, Alagoas, Região Nordeste, 57314-105, Brasil",-9.7478445,-36.6389966,"9 44m 52.2402s S, 36 38m 20.3878s W"
Jardim de Maria,Arapiraca,941,460,481,"Arapiraca, Jardim de Maria","Rua Jardim de Maria, Boa Vista, Arapiraca, Região Geográfica Imediata de Arapiraca, Região Geográfica Intermediária de Arapiraca, Alagoas, Região Nordeste, 57303-276, Brasil",-9.7776207,-36.6473021,"9 46m 39.4345s S, 36 38m 50.2876s W"
Jardim Esperança,Arapiraca,4139,1937,2202,"Arapiraca, Jardim Esperança","Jardim Esperança, Arapiraca, Região Geográfica Imediata de Arapiraca, Região Geográfica Intermediária de Arapiraca, Alagoas, Região Nordeste, 57306-415, Brasil",-9.7251161,-36.6835889,"9 43m 30.418s S, 36 41m 0.92004s W"
Baixa Grande,Arapiraca,4691,2227,2464,"Arapiraca, Baixa Grande","Baixa Grande, Arapiraca, Região Geográfica Imediata de Arapiraca, Região Geográfica Intermediária de Arapiraca, Alagoas, Região Nordeste, Brasil",-9.7336276,-36.6727817,"9 44m 1.05936s S, 36 40m 22.0141s W"
João Paulo II,Arapiraca,1509,717,792,"Arapiraca, João Paulo II","Escola João Paulo II, Rua São João, São José da Tapera, Região Geográfica Imediata de Pão de Açúcar-Olho d'Água das Flores-Batalha, Região Geográfica Intermediária de Arapiraca, Alagoas, Região Nordeste, 57445-000, Brasil",-9.56323755,-37.38294507609814,"9 33m 47.6552s S, 37 22m 58.6023s W"
Santa Esmeralda,Arapiraca,4808,2273,2535,"Arapiraca, Santa Esmeralda","Santa Esmeralda, Arapiraca, Região Geográfica Imediata de Arapiraca, Região Geográfica Intermediária de Arapiraca, Alagoas, Região Nordeste, Brasil",-9.7398505,-36.6507554,"9 44m 23.4618s S, 36 39m 2.71944s W"
Manoel Teles,Arapiraca,8255,3901,4354,"Arapiraca, Manoel Teles","Manoel Teles, Arapiraca, Região Geográfica Imediata de Arapiraca, Região Geográfica Intermediária de Arapiraca, Alagoas, Região Nordeste, Brasil",-9.7552779,-36.6685438,"9 45m 19.0004s S, 36 40m 6.75768s W"
Massaranduba,Arapiraca,1456,712,744,"Arapiraca, Massaranduba","Massaranduba, Arapiraca, Região Geográfica Imediata de Arapiraca, Região Geográfica Intermediária de Arapiraca, Alagoas, Região Nordeste, 57309-750, Brasil",-9.7087505,-36.6630971,"9 42m 31.5018s S, 36 39m 47.1496s W"
